Timestamp,Algo_ms,Loop_ms,FPS,X,Y,Z,Roll,Pitch,Yaw,Mode,Gimbal_Yaw,Gimbal_Pitch
17:50:22.958,14.3,16.5,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:23.360,14.5,16.6,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:23.764,14.2,16.4,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:24.165,14.1,16.4,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:24.567,14.2,16.4,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:24.971,21.2,23.4,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:25.378,22.0,23.9,24.6,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:25.780,14.1,16.1,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:26.185,20.4,22.4,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:26.594,13.3,15.5,24.5,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:26.998,13.2,15.4,24.7,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:27.400,13.0,15.2,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:27.804,13.5,15.8,24.8,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:28.205,13.2,15.4,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
17:50:28.607,13.4,15.6,24.9,0.00,0.00,0.00,0.0,0.0,0.0,LOCKED (LANDING),0,0
